Fecha,Franja más cara,Franja más barata,00h - 01h:,01h - 02h:,02h - 03h:,03h - 04h:,04h - 05h:,05h - 06h:,06h - 07h:,07h - 08h:,08h - 09h:,09h - 10h:,10h - 11h:,11h - 12h:,12h - 13h:,13h - 14h:,14h - 15h:,15h - 16h:,16h - 17h:,17h - 18h:,18h - 19h:,19h - 20h:,20h - 21h:,21h - 22h:,22h - 23h:,23h - 24h:
24 de 01 de 2021,20h - 21h,03h - 04h,0.08482,0.07438,0.06383,0.06228,0.06268,0.06429,0.07076,0.07691,0.08157,0.08921,0.09163,0.09092,0.08947,0.09008,0.09037,0.09049,0.09097,0.10654,0.11814,0.12281,0.12568,0.12148,0.12124,0.11463
25 de 01 de 2021,19h - 20h,04h - 05h,0.11605,0.11173,0.10434,0.09956,0.09911,0.10516,0.12113,0.12877,0.14059,0.14285,0.14212,0.13695,0.13449,0.13239,0.12819,0.12679,0.13084,0.13624,0.14208,0.14299,0.13786,0.13543,0.12593,0.12139
26 de 01 de 2021,18h - 19h,04h - 05h,0.12848,0.12261,0.12178,0.11893,0.1186,0.12244,0.13004,0.13935,0.14106,0.14697,0.13965,0.13743,0.13448,0.13317,0.13284,0.13333,0.13424,0.14031,0.15073,0.14201,0.14142,0.13855,0.1359,0.12537
27 de 01 de 2021,18h - 19h,03h - 04h,0.1176,0.11299,0.11117,0.10968,0.10994,0.11262,0.12011,0.13474,0.13349,0.1366,0.13333,0.13239,0.12966,0.12829,0.12708,0.12815,0.13087,0.13313,0.13697,0.13643,0.13319,0.13138,0.12857,0.1195
28 de 01 de 2021,07h - 08h,03h - 04h,0.11479,0.11279,0.11171,0.11027,0.11168,0.11202,0.12187,0.13307,0.1313,0.13061,0.12957,0.12835,0.12434,0.12283,0.11974,0.11643,0.11867,0.12468,0.13024,0.12844,0.12461,0.12391,0.11784,0.11047
29 de 01 de 2021,18h - 19h,04h - 05h,0.11058,0.10504,0.09989,0.09561,0.09435,0.09869,0.11529,0.12453,0.12354,0.12306,0.12059,0.11816,0.11594,0.1115,0.1078,0.10773,0.11246,0.11908,0.12476,0.12336,0.11826,0.11437,0.11145,0.09795
30 de 01 de 2021,00h - 01h,13h - 14h,0.073,0.06355,0.06042,0.06011,0.0602,0.0602,0.0602,0.05982,0.05912,0.0602,0.06092,0.05688,0.05673,0.05622,0.05665,0.05687,0.05676,0.05693,0.06176,0.06458,0.07136,0.06789,0.06168,0.05822
31 de 01 de 2021,01h - 02h,13h - 14h,0.06054,0.06107,0.05992,0.05911,0.05921,0.0592,0.05855,0.0583,0.05765,0.05684,0.05701,0.05659,0.05645,0.05639,0.05641,0.05662,0.05673,0.05685,0.05738,0.05676,0.05651,0.0566,0.05707,0.05784
01 de 02 de 2021,20h - 21h,14h - 15h,0.06087,0.05921,0.05843,0.05857,0.05849,0.06021,0.06109,0.06282,0.07369,0.0796,0.07495,0.06607,0.06001,0.05835,0.0568,0.05868,0.06214,0.06539,0.08209,0.09678,0.10021,0.09766,0.08176,0.06955
02 de 02 de 2021,20h - 21h,04h - 05h,0.06987,0.06789,0.06514,0.06177,0.06169,0.06453,0.06814,0.09057,0.09625,0.09801,0.09781,0.09617,0.09464,0.09468,0.09036,0.08877,0.09078,0.09216,0.09698,0.10857,0.10907,0.09944,0.08774,0.07132
03 de 02 de 2021,18h - 19h,04h - 05h,0.08257,0.08034,0.06905,0.06829,0.06639,0.073,0.08301,0.10063,0.10386,0.1085,0.10885,0.10745,0.10484,0.10701,0.10402,0.10222,0.10327,0.11006,0.11716,0.11619,0.1162,0.11329,0.10664,0.1007
04 de 02 de 2021,19h - 20h,03h - 04h,0.10355,0.1015,0.10066,0.09956,0.10157,0.10621,0.11534,0.1251,0.12335,0.12314,0.12152,0.11863,0.11765,0.11712,0.11863,0.12052,0.12196,0.12446,0.13074,0.13212,0.12292,0.12097,0.11976,0.11601
05 de 02 de 2021,07h - 08h,04h - 05h,0.11289,0.11169,0.10983,0.1088,0.10791,0.11069,0.11788,0.12624,0.12523,0.12372,0.1214,0.12032,0.11827,0.11552,0.11096,0.10889,0.1091,0.11034,0.11953,0.12042,0.1146,0.11324,0.11374,0.11136
06 de 02 de 2021,00h - 01h,23h - 24h,0.11202,0.10564,0.10379,0.10113,0.09924,0.09756,0.10033,0.09986,0.09907,0.10073,0.10239,0.09946,0.09891,0.10161,0.09957,0.09596,0.09384,0.09558,0.10403,0.10496,0.09908,0.09331,0.09025,0.08781
07 de 02 de 2021,18h - 19h,04h - 05h,0.08093,0.07678,0.06245,0.06058,0.06049,0.06057,0.06055,0.06212,0.06978,0.08233,0.08477,0.07465,0.06995,0.07225,0.07141,0.06051,0.06051,0.07063,0.08728,0.08476,0.08592,0.08415,0.07869,0.07183
08 de 02 de 2021,20h - 21h,14h - 15h,0.05917,0.0589,0.05867,0.05817,0.05796,0.06132,0.06028,0.0683,0.07904,0.07933,0.0675,0.06238,0.06096,0.05818,0.05665,0.05684,0.05703,0.05936,0.06527,0.08137,0.0826,0.07964,0.06851,0.06306
09 de 02 de 2021,19h - 20h,23h - 24h,0.05881,0.05837,0.05779,0.05741,0.05795,0.06124,0.05903,0.0636,0.06876,0.0687,0.06579,0.06468,0.06282,0.06339,0.06121,0.06218,0.06227,0.06154,0.0665,0.07037,0.07036,0.06795,0.06211,0.05648
10 de 02 de 2021,19h - 20h,04h - 05h,0.06835,0.0597,0.05869,0.05859,0.05855,0.05884,0.06001,0.07272,0.08741,0.08553,0.08628,0.08188,0.0769,0.07975,0.07357,0.07417,0.08454,0.0914,0.12353,0.14834,0.1397,0.12898,0.1274,0.10128
11 de 02 de 2021,19h - 20h,04h - 05h,0.11567,0.08678,0.07378,0.06847,0.06183,0.07199,0.09942,0.12293,0.12373,0.12349,0.12213,0.11883,0.11561,0.11574,0.11153,0.11495,0.11669,0.12249,0.12471,0.13799,0.13717,0.12656,0.12467,0.11703
12 de 02 de 2021,20h - 21h,04h - 05h,0.09656,0.08739,0.07775,0.07095,0.07085,0.07784,0.09162,0.11743,0.11828,0.11802,0.11434,0.10856,0.09817,0.09094,0.08454,0.0713,0.07387,0.09112,0.11373,0.12159,0.12469,0.12377,0.12017,0.10982
13 de 02 de 2021,19h - 20h,04h - 05h,0.09159,0.08684,0.07503,0.07216,0.07048,0.07446,0.07773,0.0859,0.09656,0.10439,0.10987,0.10644,0.10238,0.10399,0.10333,0.09809,0.09604,0.10858,0.12172,0.13535,0.13077,0.12472,0.12047,0.11717
14 de 02 de 2021,00h - 01h,16h - 17h,0.10098,0.09385,0.08609,0.08034,0.07946,0.07888,0.07837,0.0784,0.07578,0.07488,0.07344,0.073,0.06631,0.06948,0.06648,0.06359,0.06039,0.0605,0.0708,0.0831,0.08874,0.08537,0.07565,0.06523
15 de 02 de 2021,20h - 21h,16h - 17h,0.0634,0.0621,0.06061,0.06131,0.06167,0.06337,0.06399,0.07591,0.10359,0.09988,0.08169,0.07084,0.06964,0.0676,0.06103,0.0591,0.059,0.06219,0.08394,0.10545,0.10768,0.10445,0.08225,0.0616
16 de 02 de 2021,19h - 20h,03h - 04h,0.06491,0.0655,0.0645,0.06356,0.06358,0.06421,0.06719,0.07796,0.0941,0.09169,0.08475,0.0715,0.06919,0.0693,0.06908,0.06954,0.08283,0.09895,0.11531,0.13213,0.12447,0.1123,0.11153,0.10538
17 de 02 de 2021,09h - 10h,16h - 17h,0.10809,0.10752,0.10598,0.10312,0.10372,0.10433,0.10832,0.11972,0.124,0.12416,0.11813,0.10953,0.10012,0.0958,0.08918,0.08621,0.08578,0.09009,0.10207,0.11548,0.12063,0.11181,0.10005,0.08852
18 de 02 de 2021,19h - 20h,03h - 04h,0.0849,0.07052,0.06412,0.06353,0.06529,0.07181,0.09055,0.10033,0.10998,0.11032,0.10791,0.10487,0.10009,0.10399,0.09819,0.09845,0.09846,0.10848,0.11986,0.12668,0.12513,0.1175,0.11661,0.10952
19 de 02 de 2021,20h - 21h,16h - 17h,0.08873,0.08596,0.07983,0.08055,0.07978,0.08108,0.08591,0.09429,0.09969,0.09725,0.08368,0.07815,0.07462,0.07143,0.06511,0.06189,0.06185,0.07302,0.08052,0.09879,0.10221,0.09916,0.08486,0.07688
